symbol,industry,in_our_universe
KHAICHEM,Fertilizers Companies,0
KHAITANLTD,Consumer Electronics Companies,0
KHANDSE,Stock Broking Companies,1
KHAZANCHI,"Gems, Jewellery And Watches Companies",0
KICL,Investment Company Companies,1
KILITCH,Pharmaceuticals Companies,0
KIMS,Hospital Companies,1
KINGFA,Plastic Products - Industrial Companies,1
KIOCL,Sponge Iron Companies,1
KIRIINDUS,Dyes And Pigments Companies,1
KIRLFER,Pig Iron Companies,1
KIRLOSBROS,"Compressors, Pumps & Diesel Engines Companies",1
KIRLOSENG,"Compressors, Pumps & Diesel Engines Companies",1
KIRLOSIND,Other Industrial Products Companies,1
KIRLPNU,"Compressors, Pumps & Diesel Engines Companies",1
KITEX,Garments & Apparels Companies,1
KKCL,Garments & Apparels Companies,1
KLBRENG-B,Carbon Black Companies,1
KLL,E-Retail/ E-Commerce Companies,0
KMCSHIL,Hospital Companies,0
KMEW,Dredging Companies,1
KMSUGAR,Sugar Companies,1
KNAGRI,Edible Oil Companies,1
KNRCON,Civil Construction Companies,1
KOHINOOR,Food Processing Companies,1
KOKUYOCMLN,Stationary Companies,1
KOLTEPATIL,"Residential, Commercial Projects Companies",1
KOPRAN,Pharmaceuticals Companies,0
KORE,Diversified Retail Companies,0
KOTAKBANK,Private Sector Bank Companies,1
KOTARISUG,Sugar Companies,1
KOTHARIPET,Petrochemicals Companies,1
KOTHARIPRO,Trading & Distributors Companies,1
KOTIC,Trading & Distributors Companies,1
KOTYARK,LPG/CNG/PNG/LNG Supplier Companies,0
KOVAI,Hospital Companies,1
KPEL,Power Generation Companies,1
KPGEL,Solar EPC,0
KPIGREEN,Power Generation Companies,1
KPIL,Civil Construction Companies,1
KPITTECH,Computers - Software & Consulting Companies,1
KPL,Pharmaceuticals Companies,1
KPRMILL,Other Textile Products Companies,1
KRBL,Other Agricultural Products Companies,1
KREBSBIO,Pharmaceuticals Companies,1
KRIDHANINF,Iron & Steel Companies,0
KRISHANA,Fertilizers Companies,1
KRISHIVAL,Other Food Products Companies,1
KRISHNADEF,Aerospace & Defense Companies,1
KRITI,Plastic Products - Industrial Companies,0
KRITIKA,Iron & Steel Companies,1
KRITINUT,Edible Oil Companies,0
KRN,Other Industrial Products Companies,0
KRONOX,Speciality Chemical Companies,1
KROSS,Auto Components & Equipments Companies,1
KRSNAA,Healthcare Service Provider Companies,1
KRT,Real Estate Investment Trusts (REITs) Companies,0
KRYSTAL,Diversified Commercial Services Companies,1
KSB,"Compressors, Pumps & Diesel Engines Companies",1
KSCL,Other Agricultural Products Companies,1
KSHINTL,Cables - Electricals Companies,1
KSHITIJPOL,Printing Inks Companies,0
KSL,Iron & Steel Products Companies,1
KSOLVES,IT Consulting & Software Companies,1
KSR,Footwear Companies,1
KSSMART,Paper & Paper Products Companies,0
KTKBANK,Private Sector Bank Companies,1
KUANTUM,Paper & Paper Products Companies,1
KWIL,Dairy Products Companies,1
LAGNAM,Textiles Companies,1
LAKPRE,Industrial Machinery Companies,0
LAL,Textiles Companies,1
LALPATHLAB,Healthcare Service Provider Companies,1
LAMBODHARA,Textiles Companies,1
LAMOSAIC,Plywood Boards/ Laminates Companies,0
LANCORHOL,Real Estate Companies,1
LANDMARK,Auto Dealer Companies,1
LANDSMILL,IT Consulting & Software Companies,1
LAOPALA,Glass - Consumer Companies,1
LASA,Pharmaceuticals Companies,1
LATENTVIEW,Computers - Software & Consulting Companies,1
LATTEYS,"Compressors, Pumps & Diesel Engines Companies",0
LAURUSLABS,Pharmaceuticals Companies,1
LAXMICOT,Textiles Companies,1
LAXMIDENTL,Medical Equipment & Supplies Companies,1
LAXMIINDIA,Other Financial Services Companies,0
LCCINFOTEC,Education Companies,1
LEMERITE,Textiles Companies,1
LEMONTREE,Hotels & Resorts Companies,1
LENSKART,Speciality Retail Companies,1
LEXUS,"Furniture, Home Furnishing Companies",1
LFIC,Other Financial Services Companies,1
LGBBROSLTD,Industrial Machinery Companies,1
LGEINDIA,Household Appliances Companies,1
LGHL,"Gems, Jewellery And Watches Companies",1
LIBAS,Readymade Garments/ Apparels Companies,1
LIBERTSHOE,Footwear Companies,1
LICHSGFIN,Housing Finance Company Companies,1
LICI,Life Insurance Companies,1
LIKHITHA,Crude Oil & Natural Gas Companies,1
LINC,Stationary Companies,1
LINCOLN,Pharmaceuticals Companies,1
LINDEINDIA,Industrial Gases Companies,1
LKPFIN,Non Banking Financial Company (NBFC) Companies,0
LLOYDS,Wellness Companies,0
LLOYDSENGG,Industrial Products Companies,1
LLOYDSENT,Trading - Metals Companies,1
LLOYDSME,Industrial Minerals Companies,1
LMW,Industrial Products Companies,1
LODHA,"Residential, Commercial Projects Companies",1
LOKESHMACH,Industrial Machinery Companies,0
LORDSCHLO,Speciality Chemical Companies,1
LOTUSDEV,"Residential, Commercial Projects Companies",1
LOTUSEYE,Hospital Companies,1
LOVABLE,Textiles Companies,1
LOYALTEX,Textiles Companies,1
LPDC,Real Estate related services Companies,1
LRRPL,Rubber Companies,0
LSIND,Other Textile Products Companies,0
LT,Civil Construction Companies,1
LTF,Non Banking Financial Company (NBFC) Companies,1
LTFOODS,Other Agricultural Products Companies,1
LTIM,Computers - Software & Consulting Companies,0
LTM,IT Consulting & Software Companies,1
LTTS,IT Enabled Services Companies,1
LUMAXIND,Auto Components & Equipments Companies,1
LUMAXTECH,Auto Components & Equipments Companies,1
LUPIN,Pharmaceuticals Companies,1
LUXIND,Garments & Apparels Companies,1
LXCHEM,Specialty Chemicals Companies,1
LYKALABS,Pharmaceuticals Companies,0
LYPSAGEMS,"Diamond, Gems and Jewellery Companies",0
M&M,Passenger Cars & Utility Vehicles Companies,1
M&MFIN,Non Banking Financial Company (NBFC) Companies,1
MAANALU,Aluminium Companies,1
MACOBSTECH,Personal Care Companies,0
MACPOWER,Industrial Machinery Companies,1
MADHAV,Granites & Marbles Companies,1
MADHAVBAUG,Medical Equipment & Supplies Companies,0
MADHUCON,Civil Construction Companies,0
MADHUSUDAN,Other Food Products Companies,0
MADRASFERT,Fertilizers Companies,1
MAFATIND,Other Textile Products Companies,1
MAGADSUGAR,Sugar Companies,1
MAGNUM,Paper Companies,1
MAGSON,Packaged Foods Companies,0
MAHABANK,Public Sector Bank Companies,1
MAHAPEXLTD,Non Banking Financial Company (NBFC) Companies,1
MAHASTEEL,Iron & Steel Companies,1
MAHEPC,Industrial Machinery Companies,1
MAHESHWARI,Diversified Companies,0
MAHICKRA,Dyes And Pigments Companies,0
MAHLIFE,"Residential, Commercial Projects Companies",1
MAHLOG,Logistics Solution Provider Companies,1
MAHSCOOTER,Investment Company Companies,1
MAHSEAMLES,Iron & Steel Products Companies,1
MAITHANALL,Ferro & Silica Manganese Companies,1
MAKS,"Compressors, Pumps & Diesel Engines Companies",0
MALLCOM,Other Industrial Products Companies,1
MALUPAPER,Paper Companies,1
MAMATA,Industrial Machinery Companies,1
MANAKALUCO,Aluminium Companies,1
MANAKCOAT,Iron & Steel Products Companies,1
MANAKSIA,Iron & Steel Products Companies,1
MANAKSTEEL,Iron & Steel Companies,0
MANALIPETC,Petrochemicals Companies,1
MANAPPURAM,Non Banking Financial Company (NBFC) Companies,1
MANBA,Non Banking Financial Company (NBFC) Companies,1
MANCREDIT,Non Banking Financial Company (NBFC) Companies,1
MANGALAM,Pharmaceuticals Companies,1
MANGLMCEM,Cement & Cement Products Companies,1
MANINDS,Iron & Steel Products Companies,1
MANINFRA,Civil Construction Companies,1
MANKIND,Pharmaceuticals Companies,1
MANOMAY,Textiles Companies,1
MANORAMA,Other Food Products Companies,1
MANORG,Pesticides & Agrochemicals Companies,0
MANUGRAPH,Industrial Machinery Companies,0
MANYAVAR,Speciality Retail Companies,1
MAPMYINDIA,Software Products Companies,1
MARALOVER,Textiles Companies,0
MARATHON,Real Estate Companies,1
MARC,Consulting Services Companies,0
MARCO,Cables - Electricals Companies,0
MARICO,Edible Oil Companies,1
MARINE,Industrial Products Companies,1
MARKOLINES,Civil Construction Companies,1
MARKSANS,Pharmaceuticals Companies,1
MARSONS,Heavy Electrical Equipment Companies,1
MARUSHIKA,Computers Hardware & Equipments Companies,0
MARUTI,Passenger Cars & Utility Vehicles Companies,1
MASFIN,Non Banking Financial Company (NBFC) Companies,1
MASKINVEST,Other Financial Services Companies,0
MASTEK,Computers - Software & Consulting Companies,1
MASTERTR,Stockbroking & Allied Companies,1
MATRIMONY,Internet & Catalogue Retail Companies,1
MAWANASUG,Sugar Companies,0
MAXESTATES,"Residential, Commercial Projects Companies",1
MAXHEALTH,Hospital Companies,1
MAXIND,Holding Company Companies,1
MAXPOSURE,Media & Entertainment Companies,0
MAYURUNIQ,Leather And Leather Products Companies,1
MAZDA,Industrial Machinery Companies,0
MAZDOCK,Ship Building & Allied Services Companies,1
MBAPL,Fertilizers Companies,1
MBECL,Civil Construction Companies,0
MBEL,Industrial Machinery Companies,1
MBLINFRA,Civil Construction Companies,0
MCL,"Aluminium, Copper & Zinc Products Companies",1
MCLEODRUSS,Tea & Coffee Companies,0
MCLOUD,IT Consulting & Software Companies,1
MCON,Other Construction Materials Companies,0
MCX,Exchange and Data Platform Companies,1
MDL,"Furniture, Home Furnishing Companies",0
MEDANTA,Hospital Companies,1
MEDIASSIST,Insurance Distributors Companies,1
MEDICAMEQ,Pharmaceuticals Companies,1
MEDICO,Pharmaceuticals Companies,1
MEDISTEP,Personal Care Companies,0
MEDPLUS,Pharmacy Retail Companies,1
MEESHO,E-Retail/ E-Commerce Companies,1
MEGASTAR,Other Food Products Companies,1
MEGATHERM,Other Industrial Products Companies,0
MEIL,Heavy Electrical Equipment Companies,0
MELSTAR,IT Consulting & Software Companies,0
MENONBE,Auto Components & Equipments Companies,0
MEP,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
META,Computers - Software & Consulting Companies,0
METROBRAND,Footwear Companies,1
METROPOLIS,Healthcare Service Provider Companies,1
MFML,Textiles Companies,1
MFSL,Life Insurance Companies,1
MGEL,Other Agricultural Products Companies,0
MGL,LPG/CNG/PNG/LNG Supplier Companies,1
MHHL,Medical Equipment & Supplies Companies,0
MHLXMIRU,Textiles Companies,1
MHRIL,Hotels & Resorts Companies,1
MICEL,Other Industrial Products Companies,0
MIDHANI,Aerospace & Defense Companies,1
MIDWEST,Industrial Minerals Companies,0
MIDWESTLTD,Granites & Marbles Companies,1
MIEL,Consulting Services Companies,0
MIIL,Stockbroking & Allied Companies,0
MILTON,Plywood Boards/ Laminates Companies,0
MINDACORP,Auto Components & Equipments Companies,1
MINDSPACE,Real Estate Investment Trusts (REITs) Companies,0
MINDTECK,IT Consulting & Software Companies,1
MIRCELECTR,Consumer Electronics Companies,0
MIRZAINT,Leather And Leather Products Companies,1
MIT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
MITCON,Consulting Services Companies,0
MITTAL,Readymade Garments/ Apparels Companies,1
MKPL,Edible Oil Companies,1
MMFL,Auto Components & Equipments Companies,1
MMP,Aluminium Companies,1
MMTC,Trading & Distributors Companies,1
MMWL,Media & Entertainment Companies,0
MOBAVENUE,Education Companies,0
MOBIKWIK,Financial Technology (Fintech) Companies,1
MODINATUR,Other Agricultural Products Companies,0
MODINSU,Other Electrical Equipment Companies,0
MODIRUBBER,Tyres & Rubber Products Companies,1
MODIS,Civil Construction Companies,1
MODISONLTD,Heavy Electrical Equipment Companies,0
MODTHREAD,Textiles Companies,1
MOHITIND,Textiles Companies,1
MOIL,Industrial Minerals Companies,1
MOKSH,"Diamond, Gems and Jewellery Companies",1
MOL,Pesticides & Agrochemicals Companies,1
MOLDTECH,Civil Construction Companies,1
MOLDTKPAC,Packaging Companies,1
MONARCH,Stockbroking & Allied Companies,1
MONEYBOXX,Non Banking Financial Company (NBFC) Companies,1
MONOLITH,Electrodes & Refractories Companies,0
MONTECARLO,Garments & Apparels Companies,1
MORARJEE,Textiles Companies,0
MOREPENLAB,Pharmaceuticals Companies,1
MOS,Financial Technology (Fintech) Companies,0
MOSCHIP,Computers Hardware & Equipments Companies,1
MOTHERSON,Auto Components & Equipments Companies,1
MOTILALOFS,Stockbroking & Allied Companies,1
MOTISONS,"Gems, Jewellery And Watches Companies",1
MOTOGENFIN,Real Estate Companies,0
MOXSH,Education Companies,0
MPHASIS,Computers - Software & Consulting Companies,1
MPSLTD,E-Learning Companies,1
MPTODAY,Print Media Companies,0
MRF,Tyres & Rubber Products Companies,1
MRPL,Refineries & Marketing Companies,1
MRUTR,Non Banking Financial Company (NBFC) Companies,0
MSPL,Iron & Steel Companies,1
MSTCLTD,Trading & Distributors Companies,1
MSUMI,Auto Components & Equipments Companies,1
MTARTECH,Aerospace & Defense Companies,0
MTEDUCARE,Education Companies,0
MTNL,Telecom - Cellular & Fixed line services Companies,1
MUFIN,Non Banking Financial Company (NBFC) Companies,1
MUFTI,Speciality Retail Companies,1
MUKANDLTD,Iron & Steel Companies,1
MUKKA,Animal Feed Companies,1
MUKTAARTS,"Film Production, Distribution & Exhibition Companies",0
MUNISH,Castings & Forgings Companies,0
MUNJALAU,Auto Components & Equipments Companies,1
MUNJALSHOW,Auto Components & Equipments Companies,1
MURUDCERA,Ceramics Companies,1
MUTHOOTCAP,Housing Finance Companies,1
MUTHOOTFIN,Non Banking Financial Company (NBFC) Companies,1
MUTHOOTMF,Microfinance Institutions Companies,1
MVGJL,"Diamond, Gems and Jewellery Companies",1
MVKAGRO,Sugar Companies,0
MWL,Trading - Metals Companies,1
NACLIND,Pesticides & Agrochemicals Companies,1
NAGAFERT,Fertilizers Companies,0
NAGREEKCAP,Asset Management Company Companies,0
NAGREEKEXP,Textiles Companies,1
NAHARCAP,Stock Broking Companies,1
NAHARINDUS,Textiles Companies,1
NAHARPOLY,Packaging Companies,1
NAHARSPING,Textiles Companies,0
NAM-INDIA,Asset Management Company Companies,1
NAMAN,"Furniture, Home Furnishing Companies",0
NAMOEWASTE,Waste Management Companies,0
NARMADA,Animal Feed Companies,1
NATCAPSUQ,Pharmaceuticals Companies,1
NATCOPHARM,Pharmaceuticals Companies,1
NATHBIOGEN,Other Agricultural Products Companies,1
NATIONALUM,Aluminium Companies,1
NATIONSTD,Real Estate Companies,1
NAUKRI,Internet & Catalogue Retail Companies,1
NAVA,Power Generation Companies,1
NAVINFLUOR,Specialty Chemicals Companies,1
NAVKARCORP,Logistics Solution Provider Companies,1
NAVKARURB,Civil Construction Companies,0
NAVNETEDUL,Printing & Publication Companies,1
NAZARA,Digital Entertainment Companies,1
NBCC,Civil Construction Companies,1
NBIFIN,Non Banking Financial Company (NBFC) Companies,1
NCC,Civil Construction Companies,1
NCLIND,Cement & Cement Products Companies,1
NDGL,Stock Broking Companies,1
NDL,Textiles Companies,1
NDLVENTURE,Other Financial Services Companies,1
NDRAUTO,Auto Components & Equipments Companies,1
NDRINVIT,Diversified Commercial Services Companies,0
NDTV,TV Broadcasting & Software Production Companies,1
NECCLTD,Logistics Companies,0
NECLIFE,Pharmaceuticals Companies,0
NELCAST,Castings & Forgings Companies,1
NELCO,Computers Hardware & Equipments Companies,1
NEOGEN,Specialty Chemicals Companies,1
NEPHROPLUS,Healthcare Service Provider Companies,1
NEPTUNE,Petrochemicals Companies,0
NESCO,Diversified Commercial Services Companies,1
NESTLEIND,Packaged Foods Companies,1
NETWEB,IT Enabled Services Companies,1
NETWORK18,Media & Entertainment Companies,1
NEUEON,Power Generation & Distribution Companies,0
NEULANDLAB,Pharmaceuticals Companies,1
NEWGEN,Computers - Software & Consulting Companies,1
NEWJAISA,Computers Hardware & Equipments Companies,0
NEXTMEDIA,Media & Entertainment Companies,1
NFL,Fertilizers Companies,1
NGIL,Food Processing Companies,0
NGLFINE,Pharmaceuticals Companies,1
NH,Hospital Companies,1
NHIT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
NHPC,Power Generation Companies,1
NIACL,General Insurance Companies,1
NIBE,Aerospace & Defense Companies,1
NIBL,Abrasives & Bearings Companies,1
NIDAN,Healthcare Service Provider Companies,0
NIITLTD,Education Companies,1
NIITMTS,Education Companies,1
NIKITA,Paper & Paper Products Companies,0
NILAINFRA,Real Estate Companies,1
NILASPACES,Real Estate Companies,1
NILKAMAL,Plastic Products - Consumer Companies,1
NINSYS,IT Consulting & Software Companies,0
NIPPOBATRY,Household Products Companies,1
NIRAJ,Civil Construction Companies,0
NIRAJISPAT,Plastic Products - Consumer Companies,1
NIRLON,Real Estate Companies,1
NITCO,Ceramics Companies,1
NITINSPIN,Other Textile Products Companies,1
NITIRAJ,Consumer Electronics Companies,1
NITTAGELA,Specialty Chemicals Companies,1
NIVABUPA,General Insurance Companies,1
NKIND,Edible Oil Companies,1
NLCINDIA,Power Generation Companies,1
NMDC,Industrial Minerals Companies,1
NOCIL,Speciality Chemical Companies,1
NOIDATOLL,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
NORBTEAEXP,Tea & Coffee Companies,0
NORTHARC,Non Banking Financial Company (NBFC) Companies,1
NOVAAGRI,Fertilizers Companies,0
NOVARTIND,Pharmaceuticals Companies,1
NPST,IT Enabled Services Companies,1
NRAIL,Paper & Paper Products Companies,1
NRBBEARING,Iron & Steel Products Companies,1
NRL,Trading - Metals Companies,0
NSDL,"Depositories, Clearing Houses and Other Intermediaries Companies",0
NSIL,Investment Company Companies,1
NSLNISP,Iron & Steel Companies,1
NTPC,Power Generation Companies,1
NTPCGREEN,Power Generation Companies,1
NUCLEUS,Software Products Companies,1
NURECA,Medical Equipment & Supplies Companies,1
NUVAMA,Stockbroking & Allied Companies,1
NUVOCO,Cement & Cement Products Companies,1
NXST,Real Estate Investment Trusts (REITs) Companies,0
NXT-INFRA,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
NYKAA,E-Retail/ E-Commerce Companies,1
OAL,Personal Care Companies,1
OBCL,Logistics Companies,1
OBEROIRLTY,"Residential, Commercial Projects Companies",1
OCCLLTD,Speciality Chemical Companies,0
ODIGMA,Advertising Companies,0
OFSS,Software Products Companies,1
OIL,Oil Exploration & Production Companies,1
OILCOUNTUB,Oil Equipment & Services Companies,0
OLAELEC,2/3 Wheelers Companies,1
OLECTRA,Passenger Cars & Utility Vehicles Companies,1
OMAXAUTO,Auto Components & Equipments Companies,0
OMAXE,Real Estate Companies,1
OMFREIGHT,Logistics Companies,0
OMFURN,"Furniture, Home Furnishing Companies",0
OMINFRAL,Civil Construction Companies,1
OMKARCHEM,Speciality Chemical Companies,0
OMNI,Industrial Machinery Companies,1
ONDOOR,Diversified Retail Companies,0
ONELIFECAP,Other Financial Services Companies,0
ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,1
ONESOURCE,Pharmaceuticals Companies,1
ONGC,Oil Exploration & Production Companies,1
ONIXSOLAR,Renewable Energy Companies,0
ONMOBILE,Web based media and service Companies,0
ONWARDTEC,IT Consulting & Software Companies,1
OPTIEMUS,Telecom -  Equipment & Accessories Companies,1
ORBTEXP,Textiles Companies,0
ORCHASP,IT Consulting & Software Companies,1
ORCHPHARMA,Pharmaceuticals Companies,1
ORIANA,Other Electrical Equipment Companies,0
ORICONENT,Packaging Companies,1
ORIENTALTL,Granites & Marbles Companies,1
ORIENTBELL,Ceramics Companies,1
ORIENTCEM,Cement & Cement Products Companies,1
ORIENTCER,Electrodes & Refractories Companies,1
ORIENTELEC,Household Appliances Companies,1
ORIENTHOT,Hotels & Resorts Companies,1
ORIENTLTD,Packaging Companies,1
ORIENTPPR,Paper & Paper Products Companies,1
ORIENTTECH,IT Enabled Services Companies,1
ORIRAIL,Railway Wagons Companies,0
ORISSAMINE,Industrial Minerals Companies,1
ORKLAINDIA,Other Food Products Companies,1
ORTEL,TV Broadcasting & Software Production Companies,0
ORTINGLOBE,Pharmaceuticals Companies,0
OSELDEVICE,Medical Equipment & Supplies Companies,0
OSIAHYPER,Diversified Retail Companies,0
OSWALAGRO,Trading & Distributors Companies,0
OSWALGREEN,Investment Company Companies,1
OSWALPUMPS,"Compressors, Pumps & Diesel Engines Companies",1
OSWALSEEDS,Edible Oil Companies,1
OWAIS,Ferro & Silica Manganese Companies,0
PACEDIGITK,Telecom - Infrastructure Companies,1
PAGEIND,Garments & Apparels Companies,1
PAISALO,Non Banking Financial Company (NBFC) Companies,1
PAKKA,Paper & Paper Products Companies,1
PALASHSECU,Real Estate Companies,1
PALREDTEC,IT Consulting & Software Companies,0
PANACEABIO,Pharmaceuticals Companies,1
PANACHE,Computer Hardware Companies,0
PANAMAPET,Lubricants Companies,1
PANSARI,Real Estate Companies,1
PAR,Pharmaceuticals Companies,1
PARACABLES,Cables - Electricals Companies,1
PARADEEP,Fertilizers Companies,1
PARAGMILK,Dairy Products Companies,1
PARAGON,Dyes And Pigments Companies,0
PARAS,Aerospace & Defense Companies,1
PARASPETRO,Textiles Companies,1
PARIN,"Furniture, Home Furnishing Companies",0
PARKHOSPS,Hospital Companies,1
PARKHOTELS,Hotels & Resorts Companies,1
PARSVNATH,Real Estate Companies,0
PARTYCRUS,Other Consumer Services Companies,0
PASHUPATI,Other Textile Products Companies,1
PASUPTAC,Petrochemicals Companies,0
PATANJALI,Edible Oil Companies,1
PATELENG,Civil Construction Companies,1
PATELRMART,Diversified Retail Companies,1
PATINTLOG,Logistics Companies,0
PATTECH,Castings & Forgings Companies,0
PAUSHAKLTD,Speciality Chemical Companies,1
PAVNAIND,Auto Components & Equipments Companies,1
PAYTM,Financial Technology (Fintech) Companies,1
PCBL,Carbon Black Companies,1
PCCL,Industrial Minerals Companies,0
PCJEWELLER,"Gems, Jewellery And Watches Companies",1
PDMJEPAPER,Paper & Paper Products Companies,1
PDSL,Trading - Textile Products Companies,1
PEARLPOLY,Plastic Products - Consumer Companies,0
PELATRO,Web based media and service Companies,0
PENIND,Iron & Steel Companies,1
PENINLAND,Real Estate Companies,0
PENTAGON,Rubber Companies,0
PERSISTENT,Computers - Software & Consulting Companies,1
PETRONET,LPG/CNG/PNG/LNG Supplier Companies,1
PFC,Financial Institution Companies,1
PFIZER,Pharmaceuticals Companies,1
PFOCUS,Media & Entertainment Companies,1
PFS,Other Financial Services Companies,1
PGEL,Consumer Electronics Companies,1
PGHH,Personal Care Companies,1
PGHL,Pharmaceuticals Companies,1
PGIL,Garments & Apparels Companies,1
PGINVIT,Power - Transmission Companies,0
PHANTOMFX,Media & Entertainment Companies,0
PHOENIXLTD,"Residential, Commercial Projects Companies",1
PICCADIL,Breweries & Distilleries Companies,1
PIDILITIND,Specialty Chemicals Companies,1
PIGL,Heavy Electrical Equipment Companies,1
PIIND,Pesticides & Agrochemicals Companies,1
PILANIINVS,Holding Company Companies,1
PILITA,Plastic Products - Consumer Companies,0
PINELABS,Financial Technology (Fintech) Companies,1
PIONEEREMB,Textiles Companies,1
PIRAMALFIN,Housing Finance Company Companies,1
PITTIENG,Industrial Products Companies,1
PIXTRANS,Rubber Companies,1
PKTEA,Tea & Coffee Companies,1
PLADAINFO,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,0
PLASTIBLEN,Speciality Chemical Companies,1
PLATIND,Petrochemical Companies,1
PLAZACABLE,Cables - Electricals Companies,0
PNB,Public Sector Bank Companies,1
PNBGILTS,Investment Company Companies,1
PNBHOUSING,Housing Finance Company Companies,1
PNC,"Film Production, Distribution & Exhibition Companies",1
PNCINFRA,Civil Construction Companies,1
PNGJL,"Gems, Jewellery And Watches Companies",1
PNGSREVA,"Diamond, Gems and Jewellery Companies",1
POCL,Diversified Metals Companies,1
PODDARHOUS,Real Estate Companies,0
PODDARMENT,Dyes And Pigments Companies,1
POKARNA,Granites & Marbles Companies,1
POLICYBZR,Financial Technology (Fintech) Companies,1
POLYCAB,Cables - Electricals Companies,1
POLYMED,Medical Equipment & Supplies Companies,1
POLYPLEX,Packaging Companies,1
POLYSIL,Plastic Products - Industrial Companies,0
PONNIERODE,Sugar Companies,1
POONAWALLA,Non Banking Financial Company (NBFC) Companies,1
POWERGRID,Power - Transmission Companies,1
POWERICA,Heavy Electrical Equipment Companies,1
POWERINDIA,Heavy Electrical Equipment Companies,1
POWERMECH,Civil Construction Companies,1
PPAP,Auto Components & Equipments Companies,0
PPL,Plastic Products - Industrial Companies,0
PPLPHARMA,Pharmaceuticals Companies,1
PPSL,"Film Production, Distribution & Exhibition Companies",0
PRABHA,Oil Exploration & Production Companies,1
PRAENG,Real Estate Companies,1
PRAJIND,Industrial Products Companies,1
PRAKASH,Iron & Steel Companies,1
PRAKASHSTL,Iron & Steel Companies,1
PRAMARA,Advertising & Media Agencies Companies,0
PRAXIS,Speciality Retail Companies,0
PRECAM,Auto Components & Equipments Companies,1
PRECOT,Textiles Companies,1
PRECWIRE,"Aluminium, Copper & Zinc Products Companies",1
PREMEXPLN,Explosives Companies,1
PREMIER,Industrial Machinery Companies,0
PREMIERENE,Other Electrical Equipment Companies,1
PREMIERPOL,Plastic Products - Industrial Companies,1
PRESTIGE,"Residential, Commercial Projects Companies",1
PRICOLLTD,Auto Components & Equipments Companies,1
PRIMECAB,Cables - Electricals Companies,0
PRIMESECU,Other Financial Services Companies,1
PRIMO,Commodity Chemicals Companies,1
PRINCEPIPE,Plastic Products - Industrial Companies,1
PRITI,"Furniture, Home Furnishing Companies",0
PRITIKAUTO,Industrial Machinery Companies,0
PRIVISCL,Specialty Chemicals Companies,1
PROFX,Consumer Electronics Companies,0
PROLIFE,Dyes And Pigments Companies,0
PROPEQUITY,Real Estate related services Companies,0
PROSTARM,Heavy Electrical Equipment Companies,1
PROTEAN,IT Enabled Services Companies,1
PROV,Other Food Products Companies,0
PROZONER,Real Estate Companies,1
PRSMJOHNSN,Cement & Cement Products Companies,1
PRUDENT,Financial Products Distributor Companies,1
PRUDMOULI,Food Processing Companies,0
PSB,Public Sector Bank Companies,1
PSPPROJECT,Civil Construction Companies,1
PTC,Power Trading Companies,1
PTCIL,Other Industrial Products Companies,1
PTL,Auto Tyres & Rubber Products Companies,1
PULZ,Consumer Electronics Companies,0
PUNJABCHEM,Pesticides & Agrochemicals Companies,1
PURPLEUTED,Garments & Apparels Companies,0
PURVA,"Residential, Commercial Projects Companies",1
PVP,Real Estate Companies,1
PVRINOX,"Film Production, Distribution & Exhibition Companies",1
PVSL,Auto Dealer Companies,1
PWL,E-Learning Companies,1
PYRAMID,Packaging Companies,1
QMSMEDI,Medical Equipment & Supplies Companies,1
QPOWER,Heavy Electrical Equipment Companies,0
QUADFUTURE,Cables - Electricals Companies,1
QUESS,Diversified Commercial Services Companies,1
QUICKHEAL,Software Products Companies,0
QUINTEGRA,IT Consulting & Software Companies,0
QVCEL,Ferro & Silica Manganese Companies,0
RACE,Waste Management Companies,1
RACLGEAR,Auto Components & Equipments Companies,1
RADAAN,Media & Entertainment Companies,1
RADHIKAJWE,"Diamond, Gems and Jewellery Companies",1
RADIANTCMS,Other Financial Services Companies,1
RADICO,Breweries & Distilleries Companies,1
RADIOCITY,Media & Entertainment Companies,1
RADIOWALLA,Media & Entertainment Companies,0
RAILTEL,Other Telecom Services Companies,1
RAIN,Petrochemicals Companies,1
RAINBOW,Hospital Companies,1
RAJESH,Engineering Services Companies,0
RAJESHEXPO,"Gems, Jewellery And Watches Companies",0
RAJINDLTD,"Aluminium, Copper & Zinc Products Companies",0
RAJMET,"Aluminium, Copper & Zinc Products Companies",1
RAJOOENG,Industrial Machinery Companies,0
RAJPUTANA,Petrochemicals Companies,0
RAJRATAN,Auto Components & Equipments Companies,1
RAJRILTD,Other Textile Products Companies,0
RAJSREESUG,Sugar Companies,1
RAJTV,TV Broadcasting & Software Production Companies,1
RAJVIR,Textiles Companies,0
RALLIS,Pesticides & Agrochemicals Companies,1
RAMANEWS,Paper & Paper Products Companies,1
RAMAPHO,Fertilizers Companies,1
RAMASTEEL,Iron & Steel Companies,0
